1784727917,0.100000,0.00280000,0.00293792,SUCCESS tx=0x959d71d64a3edf3336481408910a7f31bc872188b616f8af4efaf63851f00141
1784733129,BTC->ETH,0.002927,0.09930000,0.09949650,SUCCESS tx=0x4dc55af888db2682568151aa3275454fe429d206e35baebeaca779c7d3dcc427
1784738104,ETH->BTC,0.099488,0.00400000,0.00293596,REJECTED_FLOOR
1784750717,BTC->UNDEAD,0.094000,8660424.00000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1784750718,ETH->UNDEAD,2.415223,6480287.00000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1784750718,USDC->UNDEAD,3942.952393,5498477.50000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785781280,USDC->UNDEAD,11643.752930,20811462.00000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785781280,BTC->UNDEAD,0.029747,3338594.00000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785781280,ETH->UNDEAD,0.517629,1719390.25000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785781283,BTC->ETH,0.000038,0.00000001,0.00130373,DRY_RUN_OK
1785852299,USDC->UNDEAD,8079.345703,13571712.00000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785852300,BTC->UNDEAD,0.029747,3188156.25000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785852424,BTC->ETH,600.000000,0.06353255,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785852467,USDC->UNDEAD,8079.345703,13571712.00000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785852468,BTC->UNDEAD,0.029747,3188156.25000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785939823,USDC->UNDEAD,11643.752930,21178156.00000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785939823,BTC->UNDEAD,0.029060,3388491.75000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785939823,BTC->ETH,0.000038,0.00000001,0.00131168,DRY_RUN_OK
1785939824,ETH->UNDEAD,0.517600,1759350.37500000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785960307,USDC->UNDEAD,11643.752930,21178156.00000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785960307,BTC->UNDEAD,0.029060,3388491.75000000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
1785960307,BTC->ETH,0.000038,0.00000001,0.00129014,DRY_RUN_OK
1785960307,ETH->UNDEAD,0.517600,1759350.37500000,0.00000000,REJECTED_INSUFFICIENT_FUNDS
