opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-08-06	1	1	https://snowtrace.io/tx/0x60a2129cf19213def46b4355739cf69e998ed6245fe0ade6563e83c1ba2d83c8	n/a	BTC	Avalanche	0.004498	0	$113883.00	$512.25	0.0049477997	ETH	Avalanche	0.14203	0	$3588.72	$509.71
2025-08-06	2	7	https://snowtrace.io/tx/0x313f4401a09510491ab2af63903428e5928260ee7490147f717600a3f5d82dc9	n/a	ETH	Avalanche	0.2678	0	$3588.72	$961.06	0.29458	BTC	Avalanche	0.008825	0	$113883.00	$1005.02
2025-08-07	3	2	https://snowtrace.io/tx/0xcc3eae059b0872bdda9bb3646d3d19c711cabdc00a8849cd2afd6b43a3c0fe03	n/a	BTC	Avalanche	0.004237	0	$116384.00	$493.12	0.0046607	ETH	Avalanche	0.12807	0	$3836.05	$491.28
2025-08-07	4	7	https://snowtrace.io/tx/0x91450697e53257d32c3fc900323cfb9aa054cdabb4534b70f83a2ed301f56b12	n/a	ETH	Avalanche	0.2546	0	$3836.05	$976.66	0.28006	BTC	Avalanche	0.008451	0	$116384.00	$983.56
2025-08-10	5	3	https://snowtrace.io/tx/0xced0f9a08c8ea12a1754b7348ef2aa6ac8f40358b51c013a892ff1405b326b24	n/a	BTC	Avalanche	0.004197	0	$118367.00	$496.79	0.0046167	ETH	Avalanche	0.11918	0	$4189.81	$499.34
2025-08-10	6	7	https://snowtrace.io/tx/0x18482580ce2ace2bd33e5d47e59c3cdccc3466f58d7230d7f2eca2211f843bc8	n/a	ETH	Avalanche	0.2359	0	$4189.81	$988.38	0.25949	BTC	Avalanche	0.008431	0	$118367.00	$997.95
2025-08-11	7	3	https://snowtrace.io/tx/0xa46ad4cf1e41d6911daae2e63bcbfde082daec2968638367d62bd8cc4d4bbbe4	n/a	BTC	Avalanche	0.004197	0	$119887.00	$503.17	0.0046167	ETH	Avalanche	0.11911	0	$4178.51	$497.70
2025-08-11	8	7	https://snowtrace.io/tx/0x47067d1d5d6798a9ee883d103b7b30cd0be5962bf41b9001fa4ae02b92ef32da	n/a	ETH	Avalanche	0.2373	0	$4178.51	$991.56	0.26103	BTC	Avalanche	0.008355	0	$119887.00	$1001.66
2025-08-12	9	3	https://snowtrace.io/tx/0xd4c180b708b99d11665951837d774b977886b75d204b3224f4d14ab262be90bf	n/a	BTC	Avalanche	0.00415	0	$118881.00	$493.36	0.004565	ETH	Avalanche	0.11001	0	$4344.17	$477.90
2025-08-12	10	5	https://snowtrace.io/tx/0xebdd2005f76f9da6486f1b2d883e3d9050b8514d14283a80e7f0f3667fab55ec	n/a	ETH	Avalanche	0.2226	0	$4344.17	$967.01	0.24486001	BTC	Avalanche	0.008367	0	$118881.00	$994.68
